,Call Failure,Complaints,Subscription Length,Charge Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value
2001,0,0,37,0,0,0,0,0,2,1,2,25,0.0
943,0,0,24,0,2515,50,0,23,3,1,1,30,102.6
1611,4,0,37,0,2048,54,33,19,3,1,2,30,216.08
403,8,0,35,0,4018,58,0,30,1,1,1,15,224.18
1301,0,0,43,0,273,9,15,8,2,1,2,25,80.19
99,6,1,11,2,1548,22,5,9,3,1,1,30,82.8
1649,0,1,8,1,1298,19,25,9,3,1,1,30,152.68
2508,10,0,37,1,13898,167,7,41,3,1,1,30,590.6
968,0,0,37,0,0,0,0,0,2,1,2,25,0.0
297,13,0,22,4,3113,55,46,25,3,1,1,30,310.72
1208,3,0,40,0,13548,165,3,46,3,1,1,30,560.52
2133,30,0,33,4,16380,244,7,82,2,2,1,25,779.58
75,4,0,36,1,2900,25,5,16,3,1,1,30,137.0
2632,5,0,38,0,305,6,7,2,5,1,1,55,15.165
749,1,0,9,1,1297,18,0,4,3,1,1,30,52.6
490,15,0,27,0,1300,35,31,22,3,1,2,30,177.4
3,10,0,38,0,4198,66,1,35,1,1,1,15,240.02
2008,2,0,36,0,13468,163,0,42,3,1,1,30,545.24
2681,5,0,39,0,1048,19,48,10,4,1,2,45,146.675
2990,22,1,30,0,1715,42,25,9,3,1,2,30,170.28
2248,5,0,9,1,4635,43,217,10,3,1,1,30,1055.12
2095,11,0,15,0,6087,135,78,40,1,2,1,15,771.21
481,4,0,36,0,1228,17,30,19,4,1,2,45,106.125
3002,9,0,38,0,2048,55,341,26,3,1,1,30,1448.12
1965,0,0,34,0,5485,69,154,24,3,1,1,30,838.16
161,10,0,42,0,2318,56,18,21,3,1,2,30,166.96
136,0,0,33,0,1605,41,33,18,3,1,2,30,197.84
1653,5,0,35,0,3778,54,0,29,1,1,1,15,210.76
685,4,0,36,0,3908,83,11,31,2,1,1,25,229.095
1144,0,0,18,0,1450,23,26,14,2,1,1,25,183.285
602,10,0,36,0,2338,54,327,20,2,1,1,25,1579.14
2783,32,0,33,4,16570,245,16,85,2,2,1,25,828.675
1637,1,0,35,0,2590,53,200,25,2,1,1,25,1018.935
13,4,0,38,1,3095,27,483,8,3,1,1,30,2056.88
846,14,0,20,1,8932,177,81,41,5,1,1,55,258.135
318,0,0,31,0,0,0,0,0,2,1,2,25,0.0
2584,15,0,36,6,7870,132,299,50,3,2,1,30,1516.08
1216,0,0,39,0,650,10,3,13,2,1,2,25,43.2
45,16,0,17,1,6393,141,85,42,2,2,1,25,676.53
282,5,0,42,2,598,14,19,8,5,1,1,55,37.68
1011,9,1,38,0,2238,54,8,17,3,1,2,30,123.68
3057,18,0,39,3,9420,127,151,45,3,1,1,30,985.88
1850,5,0,41,0,4065,71,6,16,3,1,1,30,189.44
110,3,0,36,0,5858,92,2,10,2,1,1,25,276.75
773,19,0,31,7,10435,87,0,41,4,1,1,45,263.05
1178,0,1,32,0,0,0,0,0,2,1,2,25,0.0
1201,0,0,41,0,93,1,10,6,2,1,2,25,49.23
854,9,0,39,1,3103,69,10,33,2,1,1,25,187.74
1193,0,0,21,0,2860,52,0,19,3,1,1,30,116.48
1292,4,0,19,0,840,24,2,7,2,1,1,25,47.88
255,16,0,44,2,4035,92,47,34,3,1,1,30,353.08
1592,0,0,23,0,0,0,0,0,2,1,1,25,0.0
351,2,0,42,0,498,13,18,9,2,1,2,25,103.995
28,0,0,36,0,133,2,0,2,3,1,2,30,5.4
2692,15,0,28,2,1645,44,58,19,2,1,1,25,337.005
1044,2,0,18,0,1695,26,28,14,2,1,1,25,203.445
1377,0,1,28,0,1703,28,12,23,3,1,2,30,117.24
1399,0,0,3,0,0,0,0,0,2,1,1,25,0.0
2894,5,0,15,0,2000,26,27,15,2,1,1,25,212.67
839,6,0,31,1,1568,45,38,69,5,1,1,55,81.195
6,4,0,38,0,2360,39,285,18,3,1,1,30,1235.96
2323,25,0,34,8,10660,97,7,40,5,1,1,55,171.855
2173,29,1,40,10,10800,102,13,46,5,2,1,55,183.03
1457,6,0,32,1,8630,107,126,36,3,1,1,30,853.48
1162,17,0,34,1,14775,216,42,28,2,1,1,25,863.595
2826,12,0,37,0,3105,46,7,15,3,1,2,30,154.04
1922,24,0,32,0,1360,52,17,15,2,1,2,25,140.04
1504,2,0,36,1,2688,62,16,46,1,1,1,15,239.25
1735,0,0,34,0,3603,77,4,29,2,1,1,25,183.6
1776,2,1,33,0,2495,34,0,11,2,1,2,25,113.805
1412,22,0,39,2,15015,227,58,35,3,1,1,30,841.68
1536,2,1,33,0,1960,48,52,33,3,1,2,30,288.32
2123,26,0,38,9,10740,99,8,44,5,1,1,55,174.585
2208,9,0,38,1,14018,172,7,44,3,1,1,30,595.6
205,10,0,34,0,3695,80,22,24,3,1,1,30,239.0
3045,15,0,18,1,5987,136,67,44,2,2,1,25,577.035
893,8,0,26,1,3935,72,16,23,3,1,1,30,224.28
2589,13,0,28,3,2473,55,58,85,5,1,1,55,124.92
1391,0,0,18,0,0,0,0,0,4,1,2,45,0.0
2886,6,0,32,0,1970,44,37,21,3,1,2,30,228.56
1555,2,0,36,0,2870,66,4,11,2,1,1,25,150.12
1855,8,0,41,1,3470,82,33,27,3,1,1,30,274.08
98,5,0,11,2,4450,43,220,12,3,1,1,30,1059.72
126,6,0,33,0,2930,38,4,14,2,1,2,25,151.56
203,9,0,34,0,4118,64,0,31,1,1,1,15,230.01
1394,0,0,10,0,1130,10,6,6,2,1,1,25,78.3
2470,14,0,42,2,11950,168,29,54,4,1,1,45,375.45
2414,9,0,33,1,15530,178,142,26,2,1,1,25,1345.86
1463,0,0,33,0,2610,13,465,1,3,1,1,30,1964.92
2121,13,0,39,2,7023,81,115,39,2,1,1,25,837.18
2980,14,0,36,3,7800,114,29,24,5,1,1,55,162.21
1791,0,0,24,0,0,0,5,0,4,1,2,45,12.5
2142,15,0,27,1,1530,38,26,15,2,1,1,25,187.56
1909,8,0,37,1,4920,88,3,23,3,1,1,30,212.32
123,18,0,34,7,10375,90,0,40,4,1,1,45,261.625
937,0,0,35,0,2070,42,150,23,2,1,1,25,770.04
2513,7,0,37,2,3220,25,479,5,3,1,1,30,2045.8
2096,7,0,13,0,8627,165,66,38,4,1,1,45,384.8
349,0,1,3,0,1228,9,0,1,2,1,1,25,55.665
2889,7,0,23,0,1873,39,29,69,4,1,1,45,120.3
2776,16,1,37,0,3485,48,25,21,3,1,2,30,241.32
1759,0,0,36,0,4020,76,0,20,3,1,1,30,163.84
785,0,0,31,0,3718,76,0,27,2,1,1,25,170.73
1875,0,0,37,0,2535,22,1,13,3,1,1,30,106.28
291,5,0,32,0,1085,20,36,9,4,1,2,45,117.625
2059,2,0,36,0,4210,77,0,23,3,1,1,30,171.48
984,6,0,34,3,6965,116,271,33,2,2,1,25,1538.145
2433,25,0,27,3,16120,234,7,76,2,1,1,25,767.43
563,4,0,39,2,3210,33,515,12,4,1,1,45,1368.575
2913,11,0,45,3,3400,39,498,11,4,1,1,45,1330.975
913,0,0,37,0,2385,16,458,8,3,1,1,30,1928.04
2423,21,0,32,8,10480,89,7,38,5,1,1,55,169.035
2085,0,0,34,0,3413,76,0,26,2,1,1,25,157.005
2933,32,0,38,5,16380,250,15,83,2,2,1,25,815.85
2608,8,0,40,0,13478,165,7,31,3,1,1,30,573.72
2415,5,0,33,1,6545,82,178,22,3,1,1,30,977.08
1747,5,0,14,2,2737,40,33,20,3,1,1,30,243.08
2810,9,0,40,1,6033,100,5,11,3,1,1,30,265.32
534,2,0,34,1,6365,106,250,18,2,2,1,25,1416.195
2943,9,0,32,2,3530,73,23,26,4,1,1,45,147.575
1336,3,0,39,0,1620,48,46,24,3,1,2,30,250.72
675,3,0,34,0,3030,23,9,17,3,1,1,30,158.12
171,9,0,41,2,6798,77,118,41,2,1,1,25,840.375
880,9,0,34,2,7495,108,22,22,5,1,1,55,147.045
1837,0,0,29,0,2475,41,160,20,2,1,1,25,833.22
1778,0,0,34,0,0,0,0,0,3,1,2,30,0.0
2357,23,0,45,4,9680,137,166,51,3,1,1,30,1056.68
4,3,0,38,0,2393,58,2,33,1,1,1,15,145.805
2800,11,0,40,1,4485,76,3,16,3,1,1,30,194.44
2639,5,0,28,0,1273,35,16,55,4,1,1,45,72.7
394,4,0,21,0,1875,34,39,19,2,1,1,25,261.405
605,11,0,37,0,3660,76,0,24,2,1,1,25,168.12
1990,0,0,24,0,0,0,0,0,2,1,2,25,0.0
1100,6,0,38,0,4125,68,3,17,2,1,1,25,202.185
2253,16,0,44,2,4583,74,18,41,1,1,1,15,355.135
540,7,0,27,0,100,15,0,3,2,1,2,25,5.175
1767,0,0,36,0,215,7,0,3,2,1,2,25,9.99
1282,0,0,30,0,0,0,0,0,4,1,1,45,0.0
666,2,0,37,0,1065,15,9,14,2,1,2,25,89.1
1595,7,0,15,0,5488,125,57,25,1,2,1,15,622.215
1744,0,0,16,0,1580,21,30,15,2,1,1,25,207.045
1151,0,0,35,0,0,0,0,0,2,1,2,25,0.0
2534,9,0,33,4,7090,114,267,30,3,2,1,30,1356.16
1588,0,0,25,0,1903,20,165,8,2,2,1,25,829.035
1916,1,0,36,0,1280,19,1,9,2,1,2,25,62.955
975,1,0,34,0,2840,22,0,14,3,1,1,30,114.48
2289,10,0,32,2,1953,47,47,74,5,1,1,55,100.5
494,6,0,18,2,2295,36,49,29,2,1,1,25,325.395
306,0,0,32,0,2100,29,270,12,3,1,1,30,1165.16
1781,0,0,34,0,0,0,0,0,4,1,2,45,0.0
517,0,0,38,0,110,4,0,1,2,1,2,25,5.13
1077,4,0,34,0,1963,38,27,29,3,1,2,30,188.04
220,6,0,33,0,11385,152,1,43,3,1,1,30,465.48
2005,6,0,36,0,3470,76,25,26,2,1,1,25,272.07
464,13,0,37,2,16085,192,171,45,2,1,1,25,1501.965
1030,3,0,33,1,6785,97,14,22,5,1,1,55,124.23
2595,25,0,19,4,7298,157,113,59,2,2,1,25,843.975
2490,18,0,32,0,1185,39,28,14,3,1,2,30,160.96
383,27,1,34,3,16255,246,11,85,2,1,1,25,792.045
899,9,0,10,2,2197,30,8,7,3,1,1,30,121.08
1947,9,0,15,3,3257,50,32,17,3,1,1,30,260.28
1852,7,0,40,0,2148,60,360,23,3,1,1,30,1528.32
1316,0,0,41,0,830,18,8,15,2,1,2,25,74.16
2517,5,0,37,0,835,12,9,5,3,1,2,30,69.88
586,3,0,36,0,1780,50,70,24,4,1,2,45,220.75
1012,25,0,38,3,15140,225,54,32,3,1,1,30,830.6
2900,15,0,45,2,4675,83,20,20,3,1,1,30,270.32
1051,0,0,37,0,0,0,0,0,2,1,2,25,0.0
1605,6,0,37,1,3585,82,57,30,3,1,1,30,374.68
1459,0,0,33,0,4030,69,0,18,3,1,1,30,163.96
1219,0,0,39,0,7283,123,387,45,2,1,1,25,2074.77
547,4,0,16,1,2253,35,10,4,3,1,1,30,131.52
1266,0,0,31,0,490,6,0,5,2,1,2,25,22.32
1684,1,0,31,1,6545,104,232,27,2,2,1,25,1343.205
133,22,0,29,2,16015,235,0,78,2,1,1,25,731.25
1532,0,0,34,2,633,8,18,15,5,1,1,55,36.615
2437,6,0,32,1,2825,49,167,19,2,1,1,25,880.83
440,9,0,24,0,520,17,0,2,2,1,2,25,24.165
2004,0,0,36,0,2088,52,0,31,1,1,1,15,117.7
1695,11,0,14,0,5973,129,46,36,1,2,1,15,588.61
432,0,0,33,0,0,0,0,0,5,1,1,55,0.0
1363,0,0,30,0,2530,11,461,7,3,1,1,30,1945.64
1946,13,0,14,0,9337,176,74,38,4,1,1,45,422.825
2211,11,0,38,0,2483,57,10,17,3,1,2,30,141.6
41,0,0,26,0,825,10,21,3,4,1,2,45,73.375
1941,1,0,25,0,1230,15,22,1,4,1,2,45,86.125
1080,0,0,31,0,6480,91,7,20,4,1,1,45,181.775
2306,8,0,36,1,2585,43,282,16,3,1,1,30,1233.12
3060,11,0,40,1,6223,101,14,14,3,1,1,30,308.96
2314,13,0,35,1,15710,186,147,28,2,1,1,25,1376.82
1217,0,0,40,0,485,10,16,10,2,1,2,25,94.275
2155,19,0,42,3,4140,91,44,32,3,1,1,30,345.24
499,7,1,9,3,2088,29,21,22,3,1,1,30,168.68
2501,5,0,38,0,305,6,7,2,3,1,2,30,40.44
442,8,0,22,0,1045,24,8,8,2,1,1,25,84.105
107,10,0,35,1,9055,118,139,41,3,1,1,30,922.92
1501,0,0,37,0,613,9,21,17,2,1,2,25,122.49
576,9,1,36,0,3105,47,41,20,3,1,2,30,290.08
582,0,0,37,2,453,10,36,6,5,1,1,55,60.945
2183,33,0,35,5,16440,247,12,84,2,2,1,25,804.915
50,11,0,40,1,4430,74,10,19,3,1,1,30,220.16
678,2,0,36,0,323,3,9,5,3,1,2,30,49.04
2201,5,0,39,0,563,8,9,4,3,1,2,30,58.84
1517,1,0,36,0,1005,18,27,21,2,1,2,25,167.535
2070,2,0,35,0,11160,148,4,45,3,1,1,30,468.32
1408,4,0,39,0,13648,171,4,47,3,1,1,30,568.76
1960,0,0,35,0,4903,78,0,10,2,1,1,25,224.145
927,3,0,35,0,1558,33,9,31,3,1,2,30,99.64
2970,18,0,40,3,12480,171,26,49,4,1,1,45,381.275
321,3,0,31,0,6458,65,93,31,2,1,1,25,712.035
2875,4,0,31,0,3145,22,0,15,3,1,1,30,126.68
936,0,0,34,0,955,33,13,20,3,1,2,30,91.52
2581,9,0,38,0,1533,23,37,21,4,1,2,45,131.4
2854,6,0,35,0,2698,58,1,34,1,1,1,15,157.08
558,7,0,39,1,13888,175,32,48,3,1,1,30,690.52
12,25,0,38,3,15140,225,54,32,3,1,1,30,830.6
1603,5,0,37,0,4008,66,26,37,1,1,1,15,367.07
1004,3,0,38,0,2393,58,2,33,1,1,1,15,145.805
1967,0,0,35,0,0,0,0,0,2,1,2,25,0.0
1650,3,0,35,0,3950,59,0,11,2,1,1,25,180.405
3135,7,0,38,1,4023,88,9,30,3,1,1,30,200.44
2902,17,0,44,2,2758,72,374,27,3,1,1,30,1609.2
2346,16,0,13,1,9158,175,70,38,5,1,1,55,244.995
2297,14,0,22,5,3238,53,48,25,3,2,1,30,323.64
2022,18,0,31,0,650,41,9,15,2,1,2,25,71.595
1365,0,0,29,0,5935,70,164,18,3,1,1,30,896.2
1957,2,0,34,0,8100,104,112,41,3,1,1,30,776.16
231,0,0,32,0,0,0,0,0,4,1,2,45,0.0
1862,22,0,41,3,14835,225,55,31,3,1,1,30,822.4
2453,17,0,43,1,4683,80,19,42,1,1,1,15,366.465
2402,10,0,33,1,2498,56,351,20,3,1,1,30,1506.16
473,25,0,36,10,11035,103,22,57,5,2,1,55,200.07
705,9,0,38,1,3585,81,23,25,3,1,1,30,238.64
3101,5,0,41,0,623,11,14,6,3,1,2,30,81.36
2903,17,0,45,2,4503,78,16,38,1,1,1,15,339.955
1039,4,0,26,0,1568,39,30,68,4,1,1,45,115.175
713,2,0,38,1,2905,26,474,5,3,1,1,30,2013.24
2627,10,0,38,0,1973,40,20,18,3,1,2,30,160.52
2804,6,0,40,1,2508,63,0,32,2,1,1,25,115.695
2374,23,0,44,3,6383,114,48,32,3,1,1,30,451.88
902,4,0,36,0,1743,49,334,24,2,1,1,25,1583.64
1359,0,0,30,0,3950,67,0,17,3,1,1,30,160.68
1223,17,0,38,8,10210,89,4,44,4,2,1,45,267.475
393,4,0,28,0,3405,69,19,28,3,1,1,30,214.96
2416,5,0,33,0,920,10,7,7,2,1,2,25,73.35
1218,0,0,39,0,0,0,3,0,2,1,2,25,13.5
521,4,0,37,0,6118,65,87,22,2,1,1,25,669.735
1885,0,0,39,0,3413,82,3,27,3,1,1,30,151.8
3020,6,0,38,1,11060,149,0,49,4,1,1,45,280.225
1575,0,0,32,0,1935,6,0,2,3,1,1,30,77.64
2421,8,0,33,1,6763,71,100,33,2,1,1,25,757.53
1624,8,1,35,1,5628,98,51,26,2,1,1,25,487.17
3108,12,0,40,1,14078,175,7,46,3,1,1,30,598.12
1426,6,1,36,0,2865,43,13,19,2,1,2,25,189.36
792,8,0,20,0,1225,26,11,12,2,1,1,25,105.795
2815,6,0,39,2,6615,91,184,25,3,1,1,30,1004.24
1032,0,0,36,1,338,4,4,2,5,1,1,55,11.13
2636,5,0,37,0,1370,40,24,7,3,1,2,30,152.4
1610,1,0,37,0,5728,95,32,14,3,1,1,30,360.92
1407,10,0,38,1,8990,123,148,46,3,1,1,30,956.52
3037,5,0,37,0,2375,48,157,25,2,1,1,25,815.535
748,0,0,9,1,4200,39,206,7,3,1,1,30,993.56
301,0,0,33,0,0,0,0,0,2,1,2,25,0.0
1353,0,0,30,0,3633,50,0,27,1,1,1,15,202.565
2340,15,0,25,0,925,29,7,5,3,1,2,30,66.16
1573,12,0,34,5,9530,77,0,25,4,1,1,45,240.175
1381,0,0,28,0,0,0,0,0,3,1,2,30,0.0
885,8,0,37,1,4428,93,10,28,3,1,1,30,220.84
192,11,0,29,1,1305,34,29,17,2,1,1,25,190.755
2858,10,0,35,0,14078,169,0,45,3,1,1,30,569.88
2427,9,1,32,0,2313,40,26,27,3,1,2,30,198.12
2246,14,0,15,1,9178,174,75,40,5,1,1,55,252.78
874,19,0,37,2,6528,109,34,24,2,1,1,25,451.665
2234,8,0,34,3,7210,119,273,33,2,2,1,25,1558.305
1625,0,0,33,0,2650,22,25,16,3,1,1,30,206.88
1644,0,0,17,0,1505,26,53,16,2,1,1,25,307.395
1179,0,0,32,0,1303,16,0,2,3,1,1,30,52.76
2611,10,0,40,0,1943,50,7,4,3,1,2,30,107.72
87,9,0,38,1,2840,56,180,25,2,1,1,25,940.32
2914,16,0,44,2,15790,194,165,33,3,1,1,30,1299.36
1008,7,0,38,0,13773,169,0,44,3,1,1,30,557.68
2700,13,0,39,0,4560,71,7,15,2,1,1,25,239.895
40,11,0,27,0,700,25,10,7,2,1,2,25,77.625
2733,30,0,32,3,16265,238,7,78,2,1,1,25,774.135
707,11,0,37,2,8925,120,135,40,3,1,1,30,901.8
487,10,0,36,2,3380,63,196,38,2,1,1,25,1036.935
366,2,0,40,0,1055,22,11,16,2,1,2,25,97.965
2471,15,0,42,2,7203,89,126,44,2,1,1,25,895.14
630,3,0,32,0,6670,91,0,18,4,1,1,45,169.025
10,6,0,38,0,5918,95,7,12,3,1,1,30,268.52
1435,0,0,37,0,3593,84,6,31,2,1,1,25,192.465
1863,1,0,41,1,2790,27,484,7,3,1,1,30,2048.68
157,14,0,41,3,9195,123,154,47,3,1,1,30,988.72
248,1,0,5,0,4310,38,205,6,3,1,1,30,993.92
396,14,0,18,0,9113,179,84,45,4,1,1,45,442.3
382,2,0,39,1,518,12,15,7,5,1,1,55,30.45
1519,2,0,35,1,7803,131,398,56,2,1,1,25,2148.03
2241,5,0,26,0,1070,13,23,3,4,1,2,45,84.575
925,0,0,33,0,2130,11,0,14,3,1,1,30,85.64
2030,0,0,31,0,6480,91,7,20,4,1,1,45,181.775
470,11,0,37,3,12065,164,32,62,4,1,1,45,385.725
2444,5,0,14,1,1740,22,20,10,2,1,1,25,169.29
1726,6,0,33,0,2875,36,11,17,2,1,2,25,180.495
1026,9,0,35,0,2990,41,9,16,3,1,2,30,157.24
2370,17,0,45,3,12030,170,33,55,4,1,1,45,387.5
1415,0,0,38,0,6375,88,190,29,3,1,1,30,1018.52
1607,8,0,36,2,8925,121,169,45,3,1,1,30,1037.84
2298,8,0,15,3,4775,48,232,16,3,1,1,30,1120.92
340,6,0,21,0,440,15,0,1,2,1,2,25,20.475
1723,18,0,34,7,10320,88,3,43,4,1,1,45,267.7
702,8,0,37,0,2263,59,350,21,3,1,1,30,1492.88
2917,9,0,45,0,1015,26,28,11,3,1,2,30,153.64
